user_id,transaction_id,transaction_amount,transaction_count_7d,transaction_count_30d,avg_transaction_amount_30d,is_weekend,device_type,location_city,is_fraud,event_timestamp,created_timestamp
3,2720,60.53,1,1,60.53,False,mobile,Medan,False,2026-02-03 10:19:15.293181,2026-03-02 03:05:12.293181
3,3529,15.37,2,2,37.95,False,mobile,Jakarta,False,2026-02-03 12:59:17.293181,2026-03-02 03:05:12.293181
3,834,35.46,3,3,37.12,False,web,Surabaya,False,2026-02-05 11:55:12.293181,2026-03-02 03:05:12.293181
3,4643,159.65,4,4,67.75,False,mobile,Medan,False,2026-02-06 11:29:29.293181,2026-03-02 03:05:12.293181
3,4333,42.79,1,5,62.76,False,web,Medan,False,2026-02-19 15:11:57.293181,2026-03-02 03:05:12.293181
4,39,67.0,1,1,67.0,True,mobile,Semarang,False,2026-01-04 16:06:15.293181,2026-03-02 03:05:12.293181
4,3645,11.0,2,2,39.0,True,web,Jakarta,True,2026-01-10 03:27:14.293181,2026-03-02 03:05:12.293181
4,4408,53.42,2,3,43.81,False,mobile,Medan,False,2026-01-12 05:57:20.293181,2026-03-02 03:05:12.293181
4,4137,738.08,3,4,217.38,False,mobile,Surabaya,False,2026-01-13 02:13:27.293181,2026-03-02 03:05:12.293181
4,2282,92.66,2,5,192.43,False,web,Jakarta,False,2026-01-19 23:13:06.293181,2026-03-02 03:05:12.293181
4,2213,19.79,1,6,163.66,True,mobile,Jakarta,False,2026-01-31 12:34:08.293181,2026-03-02 03:05:12.293181
4,4112,30.19,2,7,144.59,True,mobile,Semarang,False,2026-02-01 13:09:54.293181,2026-03-02 03:05:12.293181
4,941,23.14,3,7,138.33,True,mobile,Bandung,False,2026-02-07 02:40:51.293181,2026-03-02 03:05:12.293181
4,2294,102.38,2,5,53.63,False,mobile,Bandung,False,2026-02-12 21:34:01.293181,2026-03-02 03:05:12.293181
4,312,51.33,1,5,45.37,False,mobile,Surabaya,True,2026-02-20 15:01:46.293181,2026-03-02 03:05:12.293181
5,1724,346.45,1,1,346.45,False,mobile,Surabaya,False,2025-12-31 06:52:55.293181,2026-03-02 03:05:12.293181
5,4200,27.0,2,2,186.72,False,mobile,Surabaya,False,2026-01-02 22:33:17.293181,2026-03-02 03:05:12.293181
5,3585,61.73,1,3,145.06,False,mobile,Surabaya,False,2026-01-12 08:43:17.293181,2026-03-02 03:05:12.293181
5,3259,152.64,2,4,146.95,False,mobile,Jakarta,False,2026-01-12 10:42:17.293181,2026-03-02 03:05:12.293181
5,4121,19.98,3,5,121.56,False,mobile,Medan,False,2026-01-12 18:13:10.293181,2026-03-02 03:05:12.293181
5,1765,27.61,1,6,105.9,False,mobile,Surabaya,False,2026-01-21 18:40:46.293181,2026-03-02 03:05:12.293181
5,578,55.36,1,5,63.46,False,mobile,Jakarta,False,2026-02-09 03:59:07.293181,2026-03-02 03:05:12.293181
5,523,415.49,2,6,122.14,False,mobile,Jakarta,False,2026-02-10 20:13:44.293181,2026-03-02 03:05:12.293181
5,494,97.61,3,4,149.02,False,web,Surabaya,False,2026-02-12 03:21:48.293181,2026-03-02 03:05:12.293181
5,4735,94.4,1,4,165.72,True,web,Medan,False,2026-02-21 04:09:55.293181,2026-03-02 03:05:12.293181
6,1172,128.24,1,1,128.24,False,mobile,Semarang,False,2026-01-01 12:29:59.293181,2026-03-02 03:05:12.293181
6,4546,20.57,2,2,74.4,False,web,Jakarta,False,2026-01-05 16:49:11.293181,2026-03-02 03:05:12.293181
6,3658,16.49,1,3,55.1,False,mobile,Jakarta,False,2026-01-12 16:51:04.293181,2026-03-02 03:05:12.293181
6,196,50.84,1,1,50.84,True,web,Surabaya,False,2026-02-28 12:21:48.293181,2026-03-02 03:05:12.293181
7,4362,46.35,1,1,46.35,False,mobile,Jakarta,False,2026-02-05 06:04:55.293181,2026-03-02 03:05:12.293181
7,1266,196.9,2,2,121.62,True,mobile,Bandung,True,2026-02-07 12:45:07.293181,2026-03-02 03:05:12.293181
7,1103,97.01,1,3,113.42,False,web,Jakarta,False,2026-02-18 09:45:39.293181,2026-03-02 03:05:12.293181
7,4141,35.5,1,4,93.94,False,mobile,Surabaya,False,2026-02-26 18:02:42.293181,2026-03-02 03:05:12.293181
8,390,105.91,1,1,105.91,True,mobile,Surabaya,False,2026-01-17 09:47:56.293181,2026-03-02 03:05:12.293181
8,1515,17.92,2,2,61.92,True,mobile,Surabaya,False,2026-01-18 07:27:50.293181,2026-03-02 03:05:12.293181
8,1629,77.78,1,3,67.2,False,mobile,Semarang,False,2026-01-28 19:02:52.293181,2026-03-02 03:05:12.293181
8,1247,2.16,1,4,50.94,True,mobile,Surabaya,False,2026-02-07 21:24:26.293181,2026-03-02 03:05:12.293181
8,4000,35.98,2,5,47.95,False,mobile,Medan,False,2026-02-11 03:33:21.293181,2026-03-02 03:05:12.293181
8,3616,52.03,2,6,48.63,False,web,Bandung,False,2026-02-16 05:46:55.293181,2026-03-02 03:05:12.293181
8,2017,84.06,2,5,50.4,False,mobile,Semarang,False,2026-02-20 00:29:35.293181,2026-03-02 03:05:12.293181
8,1867,70.39,2,6,53.73,False,web,Bandung,True,2026-02-26 20:21:25.293181,2026-03-02 03:05:12.293181
9,4242,15.77,1,1,15.77,False,mobile,Surabaya,False,2026-01-08 09:11:01.293181,2026-03-02 03:05:12.293181
9,4142,16.41,2,2,16.09,False,web,Jakarta,False,2026-01-09 18:59:16.293181,2026-03-02 03:05:12.293181
9,4136,208.58,1,3,80.25,False,mobile,Semarang,False,2026-01-19 16:35:04.293181,2026-03-02 03:05:12.293181
9,4955,80.88,1,4,80.41,False,mobile,Bandung,False,2026-01-30 21:59:08.293181,2026-03-02 03:05:12.293181
9,2794,155.58,2,5,95.44,False,web,Semarang,False,2026-02-03 16:30:24.293181,2026-03-02 03:05:12.293181
9,1191,91.82,2,5,110.65,True,web,Surabaya,False,2026-02-07 12:42:00.293181,2026-03-02 03:05:12.293181
9,3346,34.98,2,5,114.37,False,web,Medan,False,2026-02-10 18:32:27.293181,2026-03-02 03:05:12.293181
9,4053,47.7,2,6,103.26,False,mobile,Surabaya,False,2026-02-17 01:49:58.293181,2026-03-02 03:05:12.293181
9,2754,8.01,2,7,89.65,False,web,Medan,False,2026-02-18 14:17:16.293181,2026-03-02 03:05:12.293181
9,2024,24.25,3,7,63.32,False,mobile,Surabaya,False,2026-02-23 13:07:13.293181,2026-03-02 03:05:12.293181
9,4148,45.06,2,8,61.04,False,mobile,Surabaya,False,2026-02-25 20:04:46.293181,2026-03-02 03:05:12.293181
9,3858,182.25,3,9,74.5,False,web,Jakarta,False,2026-02-25 20:59:27.293181,2026-03-02 03:05:12.293181
10,2723,73.37,1,1,73.37,False,mobile,Medan,False,2026-01-02 02:27:15.293181,2026-03-02 03:05:12.293181
10,248,265.69,2,2,169.53,True,mobile,Surabaya,False,2026-01-03 16:51:30.293181,2026-03-02 03:05:12.293181
10,2316,37.69,1,3,125.58,True,mobile,Semarang,False,2026-01-18 20:07:57.293181,2026-03-02 03:05:12.293181
10,2558,50.24,1,2,43.96,False,mobile,Medan,False,2026-02-03 06:01:01.293181,2026-03-02 03:05:12.293181
10,3394,212.35,2,3,100.09,False,mobile,Surabaya,False,2026-02-03 18:46:44.293181,2026-03-02 03:05:12.293181
10,1014,56.58,3,4,89.21,False,mobile,Medan,False,2026-02-06 08:48:12.293181,2026-03-02 03:05:12.293181
11,1033,32.9,1,1,32.9,False,mobile,Jakarta,False,2026-01-02 10:32:01.293181,2026-03-02 03:05:12.293181
11,2784,17.01,1,2,24.96,False,mobile,Medan,False,2026-01-12 13:56:03.293181,2026-03-02 03:05:12.293181
11,1420,40.38,1,3,30.1,False,web,Medan,False,2026-01-21 10:36:07.293181,2026-03-02 03:05:12.293181
11,934,21.75,1,4,28.01,False,mobile,Semarang,False,2026-01-30 21:23:43.293181,2026-03-02 03:05:12.293181
11,306,56.1,1,2,38.92,False,mobile,Surabaya,False,2026-02-27 20:27:27.293181,2026-03-02 03:05:12.293181
11,1978,144.59,2,3,74.15,True,mobile,Surabaya,False,2026-02-28 09:30:49.293181,2026-03-02 03:05:12.293181
11,2332,48.04,3,4,67.62,True,web,Semarang,False,2026-03-01 01:44:17.293181,2026-03-02 03:05:12.293181
12,3827,31.37,1,1,31.37,True,mobile,Medan,False,2026-01-10 23:02:48.293181,2026-03-02 03:05:12.293181
12,3764,64.66,1,2,48.02,False,mobile,Medan,False,2026-01-30 04:28:56.293181,2026-03-02 03:05:12.293181
12,4604,24.42,1,3,40.15,False,mobile,Jakarta,False,2026-02-06 22:13:58.293181,2026-03-02 03:05:12.293181
12,3236,47.03,2,3,45.37,False,mobile,Bandung,False,2026-02-10 21:40:34.293181,2026-03-02 03:05:12.293181
12,1760,77.95,1,4,53.52,False,web,Bandung,False,2026-02-23 22:17:51.293181,2026-03-02 03:05:12.293181
13,1887,14.71,1,1,14.71,False,mobile,Jakarta,False,2026-01-09 00:37:23.293181,2026-03-02 03:05:12.293181
13,632,97.03,1,2,55.87,True,mobile,Bandung,False,2026-01-18 08:08:35.293181,2026-03-02 03:05:12.293181
13,3,20.5,2,3,44.08,False,web,Surabaya,False,2026-01-23 18:51:05.293181,2026-03-02 03:05:12.293181
13,4569,7.85,2,4,35.02,False,web,Semarang,False,2026-01-28 16:38:38.293181,2026-03-02 03:05:12.293181
13,811,76.61,1,4,50.5,False,mobile,Surabaya,False,2026-02-11 11:42:29.293181,2026-03-02 03:05:12.293181
13,668,53.26,1,3,45.91,False,web,Semarang,False,2026-02-24 01:24:58.293181,2026-03-02 03:05:12.293181
14,4351,43.42,1,1,43.42,False,mobile,Medan,False,2026-01-06 11:10:39.293181,2026-03-02 03:05:12.293181
14,3360,17.65,2,2,30.54,True,mobile,Bandung,False,2026-01-11 06:48:22.293181,2026-03-02 03:05:12.293181
14,1063,45.82,2,3,35.63,False,mobile,Jakarta,False,2026-01-14 22:57:37.293181,2026-03-02 03:05:12.293181
14,3038,48.15,3,4,38.76,False,web,Bandung,False,2026-01-16 17:35:07.293181,2026-03-02 03:05:12.293181
14,25,20.4,3,5,35.09,False,mobile,Surabaya,False,2026-01-21 10:58:48.293181,2026-03-02 03:05:12.293181
14,1410,183.07,2,6,59.75,False,mobile,Bandung,False,2026-01-27 04:45:37.293181,2026-03-02 03:05:12.293181
14,4467,349.33,3,7,101.12,False,web,Surabaya,False,2026-01-27 05:47:52.293181,2026-03-02 03:05:12.293181
14,2197,41.38,3,8,93.65,False,web,Bandung,False,2026-01-29 20:30:13.293181,2026-03-02 03:05:12.293181
14,986,4.48,4,9,83.74,True,mobile,Surabaya,True,2026-01-31 10:52:19.293181,2026-03-02 03:05:12.293181
14,980,129.68,1,7,110.93,True,web,Semarang,False,2026-02-14 19:01:17.293181,2026-03-02 03:05:12.293181
14,2685,47.05,2,7,110.77,False,mobile,Semarang,False,2026-02-19 05:54:34.293181,2026-03-02 03:05:12.293181
14,2015,21.1,3,7,110.87,False,mobile,Jakarta,False,2026-02-20 16:46:24.293181,2026-03-02 03:05:12.293181
14,2974,70.66,2,6,52.39,False,web,Semarang,False,2026-02-27 00:01:52.293181,2026-03-02 03:05:12.293181
15,1687,12.39,1,1,12.39,True,mobile,Surabaya,False,2026-01-03 07:54:24.293181,2026-03-02 03:05:12.293181
15,1154,63.64,2,2,38.02,False,mobile,Bandung,False,2026-01-06 22:45:04.293181,2026-03-02 03:05:12.293181
15,2204,57.55,2,3,44.53,False,mobile,Bandung,False,2026-01-12 12:03:07.293181,2026-03-02 03:05:12.293181
15,3140,55.69,1,4,47.32,False,web,Medan,False,2026-01-21 17:29:01.293181,2026-03-02 03:05:12.293181
15,1505,73.35,2,5,52.52,False,mobile,Jakarta,False,2026-01-26 13:43:14.293181,2026-03-02 03:05:12.293181
15,4634,320.29,3,6,97.15,False,web,Surabaya,False,2026-01-27 08:21:40.293181,2026-03-02 03:05:12.293181
15,2696,31.17,3,7,87.73,False,web,Jakarta,False,2026-01-28 20:01:49.293181,2026-03-02 03:05:12.293181
15,965,40.88,4,8,81.87,False,mobile,Semarang,False,2026-01-29 15:02:27.293181,2026-03-02 03:05:12.293181
15,688,64.37,5,9,79.93,False,mobile,Surabaya,True,2026-01-30 06:22:20.293181,2026-03-02 03:05:12.293181
16,4757,16.94,1,1,16.94,False,mobile,Medan,False,2026-01-01 08:44:29.293181,2026-03-02 03:05:12.293181
16,2058,88.07,1,2,52.5,False,mobile,Jakarta,False,2026-01-20 00:30:16.293181,2026-03-02 03:05:12.293181
16,2934,44.01,2,3,49.67,False,mobile,Bandung,False,2026-01-20 08:17:30.293181,2026-03-02 03:05:12.293181
16,19,39.64,3,4,47.16,True,mobile,Semarang,False,2026-01-25 02:46:42.293181,2026-03-02 03:05:12.293181
16,1028,144.16,1,4,78.97,False,mobile,Jakarta,False,2026-02-13 13:38:10.293181,2026-03-02 03:05:12.293181
16,2225,59.18,1,3,80.99,False,mobile,Semarang,False,2026-02-23 07:44:35.293181,2026-03-02 03:05:12.293181
16,3155,515.61,2,3,239.65,False,mobile,Medan,False,2026-02-27 11:00:42.293181,2026-03-02 03:05:12.293181
16,4294,213.01,3,4,232.99,True,web,Medan,False,2026-02-28 05:10:19.293181,2026-03-02 03:05:12.293181
17,1944,99.94,1,1,99.94,True,mobile,Medan,False,2026-01-03 07:32:11.293181,2026-03-02 03:05:12.293181
17,2952,63.55,2,2,81.74,False,web,Surabaya,False,2026-01-06 12:04:13.293181,2026-03-02 03:05:12.293181
17,4237,45.9,3,3,69.8,False,mobile,Medan,False,2026-01-08 21:53:27.293181,2026-03-02 03:05:12.293181
17,4803,21.34,4,4,57.68,False,mobile,Bandung,False,2026-01-09 02:42:28.293181,2026-03-02 03:05:12.293181
17,4191,53.76,3,5,56.9,False,mobile,Surabaya,False,2026-01-14 13:27:38.293181,2026-03-02 03:05:12.293181
17,4762,141.56,1,6,71.01,True,web,Bandung,False,2026-01-25 00:52:24.293181,2026-03-02 03:05:12.293181
17,3388,53.75,2,7,68.54,False,mobile,Medan,False,2026-01-28 20:51:05.293181,2026-03-02 03:05:12.293181
17,1346,39.97,2,7,59.98,False,mobile,Semarang,False,2026-02-03 20:59:42.293181,2026-03-02 03:05:12.293181
17,3849,15.27,2,5,60.86,False,mobile,Medan,False,2026-02-09 18:05:15.293181,2026-03-02 03:05:12.293181
17,133,65.95,3,6,61.71,False,web,Bandung,False,2026-02-09 23:56:30.293181,2026-03-02 03:05:12.293181
17,320,50.83,3,6,61.22,False,web,Jakarta,False,2026-02-13 19:27:09.293181,2026-03-02 03:05:12.293181
17,3785,60.02,2,7,61.05,False,web,Surabaya,False,2026-02-17 19:47:29.293181,2026-03-02 03:05:12.293181
17,18,10.22,1,7,42.29,False,mobile,Jakarta,False,2026-02-25 07:46:18.293181,2026-03-02 03:05:12.293181
18,2941,23.48,1,1,23.48,False,mobile,Medan,False,2026-01-01 06:28:30.293181,2026-03-02 03:05:12.293181
18,1809,37.37,1,1,37.37,False,mobile,Medan,False,2026-02-04 15:59:54.293181,2026-03-02 03:05:12.293181
18,4103,25.3,2,2,31.34,False,mobile,Medan,False,2026-02-09 04:07:03.293181,2026-03-02 03:05:12.293181
18,3864,180.1,1,3,80.92,False,web,Jakarta,False,2026-02-18 15:22:10.293181,2026-03-02 03:05:12.293181
19,2832,61.88,1,1,61.88,False,web,Bandung,False,2026-01-08 00:36:10.293181,2026-03-02 03:05:12.293181
19,3571,125.75,1,2,93.82,True,web,Surabaya,False,2026-01-17 20:55:36.293181,2026-03-02 03:05:12.293181
19,1664,56.61,2,3,81.41,False,mobile,Jakarta,False,2026-01-21 10:59:11.293181,2026-03-02 03:05:12.293181
19,587,28.88,1,4,68.28,False,mobile,Bandung,False,2026-02-02 09:42:19.293181,2026-03-02 03:05:12.293181
19,2849,941.79,2,5,242.98,False,mobile,Jakarta,False,2026-02-02 22:44:57.293181,2026-03-02 03:05:12.293181
19,1614,29.41,3,6,207.39,False,mobile,Medan,True,2026-02-06 00:13:46.293181,2026-03-02 03:05:12.293181
19,1464,100.93,1,4,275.25,True,mobile,Medan,False,2026-02-22 18:29:44.293181,2026-03-02 03:05:12.293181
19,4512,11.36,2,5,222.47,False,mobile,Bandung,False,2026-02-24 17:49:57.293181,2026-03-02 03:05:12.293181
20,3311,249.61,1,1,249.61,False,mobile,Medan,False,2026-01-01 09:19:22.293181,2026-03-02 03:05:12.293181
20,653,170.68,2,2,210.14,False,mobile,Bandung,False,2026-01-07 06:10:57.293181,2026-03-02 03:05:12.293181
20,2584,545.83,1,3,322.04,False,mobile,Semarang,False,2026-01-26 01:49:26.293181,2026-03-02 03:05:12.293181
20,3584,93.4,2,4,264.88,False,mobile,Surabaya,False,2026-01-29 08:34:06.293181,2026-03-02 03:05:12.293181
20,1910,41.26,3,5,220.16,False,web,Jakarta,False,2026-01-29 09:09:19.293181,2026-03-02 03:05:12.293181
20,2432,30.31,1,5,176.3,False,web,Semarang,False,2026-02-05 19:03:10.293181,2026-03-02 03:05:12.293181
20,697,10.62,1,4,43.9,False,mobile,Jakarta,False,2026-02-25 17:33:42.293181,2026-03-02 03:05:12.293181
20,3561,67.42,2,5,48.6,True,mobile,Surabaya,False,2026-02-28 07:51:59.293181,2026-03-02 03:05:12.293181
20,2707,264.84,3,4,93.3,True,mobile,Semarang,False,2026-03-01 22:06:02.293181,2026-03-02 03:05:12.293181
21,466,187.15,1,1,187.15,True,mobile,Bandung,False,2026-01-04 06:22:55.293181,2026-03-02 03:05:12.293181
21,1026,12.75,1,2,99.95,False,mobile,Bandung,False,2026-01-12 09:19:56.293181,2026-03-02 03:05:12.293181
21,1805,41.97,1,3,80.62,True,mobile,Semarang,False,2026-01-25 12:58:55.293181,2026-03-02 03:05:12.293181
21,3309,83.83,2,4,81.42,False,mobile,Bandung,False,2026-01-29 08:23:46.293181,2026-03-02 03:05:12.293181
21,2478,94.29,3,5,84.0,True,mobile,Semarang,False,2026-02-01 09:03:14.293181,2026-03-02 03:05:12.293181
21,1403,31.53,3,6,75.25,False,mobile,Semarang,False,2026-02-02 12:42:52.293181,2026-03-02 03:05:12.293181
21,3981,64.85,3,6,54.87,False,mobile,Medan,False,2026-02-05 19:34:09.293181,2026-03-02 03:05:12.293181
21,603,79.0,2,7,58.32,False,mobile,Surabaya,False,2026-02-10 16:29:53.293181,2026-03-02 03:05:12.293181
21,1426,21.25,1,7,59.53,False,web,Bandung,True,2026-02-18 23:21:47.293181,2026-03-02 03:05:12.293181
22,4217,266.95,1,1,266.95,False,mobile,Surabaya,False,2025-12-31 21:43:17.293181,2026-03-02 03:05:12.293181
22,1093,175.03,2,2,220.99,False,mobile,Medan,False,2026-01-01 10:34:35.293181,2026-03-02 03:05:12.293181
22,2911,103.99,3,3,181.99,False,mobile,Medan,False,2026-01-07 07:34:40.293181,2026-03-02 03:05:12.293181
22,2453,37.18,2,4,145.79,True,mobile,Medan,False,2026-01-10 03:51:29.293181,2026-03-02 03:05:12.293181
22,3137,153.83,3,5,147.4,False,web,Surabaya,False,2026-01-13 13:57:29.293181,2026-03-02 03:05:12.293181
22,595,233.5,2,6,161.75,True,mobile,Bandung,False,2026-01-18 02:56:12.293181,2026-03-02 03:05:12.293181
22,2839,25.08,3,7,142.22,True,mobile,Surabaya,False,2026-01-18 08:09:22.293181,2026-03-02 03:05:12.293181
22,3484,33.74,1,6,97.89,True,web,Bandung,False,2026-02-01 09:15:47.293181,2026-03-02 03:05:12.293181
22,2314,65.59,1,2,49.67,False,web,Medan,False,2026-02-18 06:53:56.293181,2026-03-02 03:05:12.293181
22,4788,302.71,2,3,134.01,False,web,Semarang,False,2026-02-20 16:58:26.293181,2026-03-02 03:05:12.293181
23,4533,5.28,1,1,5.28,False,mobile,Semarang,False,2026-01-02 14:56:38.293181,2026-03-02 03:05:12.293181
23,3873,11.02,2,2,8.15,True,mobile,Medan,False,2026-01-03 19:41:45.293181,2026-03-02 03:05:12.293181
23,564,71.3,3,3,29.2,True,mobile,Semarang,False,2026-01-04 20:00:13.293181,2026-03-02 03:05:12.293181
23,2605,92.58,1,4,45.04,False,mobile,Jakarta,True,2026-01-14 09:38:51.293181,2026-03-02 03:05:12.293181
23,2835,112.82,1,5,58.6,False,mobile,Bandung,False,2026-01-22 15:10:58.293181,2026-03-02 03:05:12.293181
23,714,62.87,2,6,59.31,False,web,Semarang,False,2026-01-28 10:00:02.293181,2026-03-02 03:05:12.293181
23,62,75.01,3,7,61.55,False,mobile,Surabaya,False,2026-01-28 16:39:22.293181,2026-03-02 03:05:12.293181
23,2788,101.28,3,8,66.52,False,web,Jakarta,False,2026-01-29 22:52:25.293181,2026-03-02 03:05:12.293181
23,2047,19.35,4,9,61.28,True,mobile,Medan,False,2026-01-31 09:20:14.293181,2026-03-02 03:05:12.293181
23,4600,67.26,5,9,68.17,True,web,Medan,False,2026-02-01 20:57:03.293181,2026-03-02 03:05:12.293181
23,2810,20.08,1,7,65.52,False,mobile,Bandung,False,2026-02-17 14:45:27.293181,2026-03-02 03:05:12.293181
23,1598,96.57,2,7,63.2,True,web,Semarang,False,2026-02-21 17:26:20.293181,2026-03-02 03:05:12.293181
24,3773,27.13,1,1,27.13,True,web,Surabaya,False,2026-01-04 07:23:04.293181,2026-03-02 03:05:12.293181
24,4227,162.96,2,2,95.04,True,mobile,Bandung,False,2026-01-04 11:41:16.293181,2026-03-02 03:05:12.293181
24,3271,8.03,3,3,66.04,False,mobile,Surabaya,False,2026-01-05 03:08:24.293181,2026-03-02 03:05:12.293181
24,812,18.41,4,4,54.13,True,web,Surabaya,False,2026-01-10 02:37:19.293181,2026-03-02 03:05:12.293181
24,1252,153.17,2,5,73.94,False,mobile,Bandung,False,2026-01-12 07:22:20.293181,2026-03-02 03:05:12.293181
24,4047,33.93,3,6,67.27,False,mobile,Semarang,False,2026-01-13 12:51:23.293181,2026-03-02 03:05:12.293181
24,83,17.25,1,7,60.13,False,mobile,Jakarta,False,2026-01-21 04:55:12.293181,2026-03-02 03:05:12.293181
24,3310,213.17,2,8,79.26,False,mobile,Medan,False,2026-01-23 04:49:23.293181,2026-03-02 03:05:12.293181
24,1908,49.2,2,9,75.92,False,mobile,Bandung,False,2026-01-29 08:09:54.293181,2026-03-02 03:05:12.293181
24,3142,61.08,2,10,74.43,False,web,Surabaya,False,2026-02-02 21:04:48.293181,2026-03-02 03:05:12.293181
24,2277,17.55,1,5,71.65,False,mobile,Jakarta,False,2026-02-18 03:35:08.293181,2026-03-02 03:05:12.293181
24,1688,28.82,1,4,39.16,False,mobile,Semarang,False,2026-02-27 17:47:09.293181,2026-03-02 03:05:12.293181
24,4949,37.3,2,4,36.19,True,mobile,Semarang,False,2026-02-28 21:44:20.293181,2026-03-02 03:05:12.293181
25,4948,120.26,1,1,120.26,False,web,Bandung,False,2026-01-05 21:19:40.293181,2026-03-02 03:05:12.293181
25,3247,153.47,2,2,136.86,False,mobile,Bandung,False,2026-01-08 17:51:41.293181,2026-03-02 03:05:12.293181
25,2740,31.59,3,3,101.77,False,web,Surabaya,False,2026-01-12 11:23:08.293181,2026-03-02 03:05:12.293181
25,3921,107.0,3,4,103.08,False,web,Medan,False,2026-01-12 21:39:06.293181,2026-03-02 03:05:12.293181
25,3870,23.17,1,5,87.1,False,web,Medan,True,2026-01-20 05:49:29.293181,2026-03-02 03:05:12.293181
25,2857,75.85,1,6,85.22,False,mobile,Bandung,False,2026-01-29 11:24:22.293181,2026-03-02 03:05:12.293181
25,175,30.23,1,2,53.04,True,web,Semarang,False,2026-02-21 05:47:54.293181,2026-03-02 03:05:12.293181
25,4110,16.48,2,3,40.85,True,mobile,Jakarta,False,2026-02-28 04:55:51.293181,2026-03-02 03:05:12.293181
26,1979,135.56,1,1,135.56,True,web,Bandung,True,2026-01-03 08:52:49.293181,2026-03-02 03:05:12.293181
26,438,199.75,2,2,167.66,True,web,Jakarta,False,2026-01-04 15:01:03.293181,2026-03-02 03:05:12.293181
26,3512,98.65,3,3,144.65,False,web,Semarang,False,2026-01-08 09:17:25.293181,2026-03-02 03:05:12.293181
26,1772,34.61,1,4,117.14,False,web,Bandung,False,2026-01-30 03:26:12.293181,2026-03-02 03:05:12.293181
26,3248,4.3,1,2,19.45,True,mobile,Semarang,False,2026-02-07 17:48:27.293181,2026-03-02 03:05:12.293181
26,3208,73.59,2,3,37.5,False,web,Bandung,False,2026-02-10 09:12:56.293181,2026-03-02 03:05:12.293181
26,386,90.68,2,4,50.8,True,mobile,Semarang,False,2026-02-15 06:55:51.293181,2026-03-02 03:05:12.293181
26,994,15.56,2,5,43.75,False,web,Semarang,False,2026-02-17 17:30:10.293181,2026-03-02 03:05:12.293181
26,850,16.38,2,6,39.19,True,web,Semarang,False,2026-02-22 13:21:12.293181,2026-03-02 03:05:12.293181
26,2250,55.39,2,7,41.5,False,mobile,Jakarta,False,2026-02-26 05:27:18.293181,2026-03-02 03:05:12.293181
27,3519,35.43,1,1,35.43,True,mobile,Surabaya,False,2026-01-03 14:47:13.293181,2026-03-02 03:05:12.293181
27,3273,141.37,1,2,88.4,False,mobile,Surabaya,False,2026-01-14 09:21:57.293181,2026-03-02 03:05:12.293181
27,1017,45.24,2,3,74.01,True,web,Semarang,False,2026-01-17 21:02:55.293181,2026-03-02 03:05:12.293181
27,4987,36.19,3,4,64.56,False,mobile,Surabaya,False,2026-01-19 03:42:59.293181,2026-03-02 03:05:12.293181
27,3373,60.35,4,5,63.72,False,mobile,Jakarta,False,2026-01-20 22:47:18.293181,2026-03-02 03:05:12.293181
27,1493,38.19,3,6,59.46,True,mobile,Surabaya,False,2026-01-25 16:21:24.293181,2026-03-02 03:05:12.293181
