house_id,event_timestamp,house_size,bedrooms,bathrooms,floors,year_built,location_score,distance_city,garage,garden,school_rating,crime_rate,house_price
127,2021-12-10,221,1,3,1,1998,7.45,24.28,2,0,7.47,0.84,824825
128,2021-05-09,113,3,2,2,2016,7.38,7.21,1,1,5.56,0.979,540231
129,2022-10-10,80,2,1,1,2001,9.98,22.24,0,0,1.35,0.311,376425
130,2022-04-17,96,1,1,1,1998,4.52,23.23,0,0,9.37,0.383,382279
131,2021-03-04,179,5,2,2,1983,8.78,18.13,2,1,3.77,0.486,806709
132,2021-05-19,159,3,3,1,1984,5.02,20.38,0,0,3.7,0.498,578113
133,2022-05-14,118,1,2,1,1984,9.08,11.72,1,1,5.23,0.75,549428
134,2022-08-16,107,2,3,2,2004,1.82,23.03,1,0,4.86,0.817,342653
135,2022-01-27,155,2,3,1,2003,2.58,18.69,1,0,9.66,0.991,586864
136,2022-11-06,349,5,2,2,1980,8.65,8.51,1,0,2.49,0.804,1328641
137,2022-02-23,305,3,2,1,2007,8.37,1.36,0,0,7.2,0.3,1249511
138,2021-10-16,220,3,3,2,2000,3.75,13.75,2,0,1.96,0.358,814335
139,2022-01-14,211,1,3,2,1998,6.37,21.1,1,0,3.49,0.618,746380
140,2023-02-12,335,2,3,1,2002,4.44,21.59,0,0,7.5,0.687,1118737
141,2022-05-05,120,2,3,2,1993,1.09,20.96,1,0,8.24,0.09,451774
142,2021-08-19,304,5,2,2,1985,1.23,5.76,2,0,5.22,0.344,1081885
143,2021-02-10,104,5,1,1,2011,1.49,10.94,0,1,8.1,0.203,478283
144,2021-01-28,52,3,1,2,2011,6.35,15.54,1,0,9.42,0.508,340740
145,2021-05-15,75,2,3,2,1987,3.51,16.86,2,1,9.42,0.169,393344
146,2021-07-20,175,1,1,1,2016,2.3,8.7,0,1,4.08,0.581,592921
147,2023-04-20,102,4,1,2,2001,9.47,17.47,0,1,3.81,0.467,521420
148,2023-02-19,247,1,1,1,1987,2.09,14.98,1,1,7.54,0.404,838427
149,2021-02-02,348,5,1,2,2017,7.07,14.39,0,0,6.89,0.649,1363057
150,2021-02-17,237,1,1,2,1989,9.05,16.74,0,0,4.53,0.416,890752
151,2022-05-18,235,2,1,2,1982,2.47,15.28,1,0,3.06,0.399,807350
152,2022-02-11,347,3,3,2,1992,2.93,4.59,1,0,6.57,0.651,1256835
153,2022-07-28,253,4,3,1,2018,6.16,21.92,0,0,4.87,0.057,965612
154,2022-12-29,60,3,3,2,2009,5.58,6.39,1,1,2.19,0.432,375232
155,2023-03-16,195,4,2,1,1983,5.69,18.74,1,1,6.75,0.195,797742
156,2021-04-09,134,4,1,1,1985,5.99,4.82,0,1,7.28,0.039,668524
157,2022-11-15,149,2,1,2,1995,9.55,16.69,1,0,4.28,0.035,676419
158,2023-05-22,153,2,2,1,2001,1.48,22.44,2,0,8.49,0.168,574218
159,2022-12-27,95,5,1,2,2006,7.84,0.74,0,1,1.66,0.434,531055
160,2022-07-01,93,5,3,1,2000,3.09,24.5,0,1,5.46,0.567,350995
161,2023-01-09,327,4,3,2,2008,4.36,1.23,2,1,9.61,0.796,1289491
162,2022-09-05,230,5,2,1,1980,1.8,0.78,1,1,2.71,0.608,889727
163,2022-04-07,236,2,3,1,2009,5.01,21.51,1,0,2.55,0.52,818083
164,2022-10-05,163,5,2,2,2003,8.24,17.86,1,1,4.41,0.036,785190
165,2023-02-08,304,4,3,2,1992,1.89,3.09,0,1,3.41,0.298,1150315
166,2021-01-05,79,3,1,1,2009,3.48,23.47,1,1,2.99,0.692,272186
167,2021-08-06,313,1,3,1,2005,4.36,16.96,1,1,9.55,0.271,1181008
168,2022-05-18,147,5,2,1,2013,1.94,3.22,0,1,4.1,0.594,625652
169,2023-02-06,164,2,1,1,1999,7.86,21.58,0,0,1.54,0.604,591223
170,2022-02-02,325,3,2,1,1985,8.08,12.28,1,1,9.1,0.305,1296505
171,2023-05-21,330,2,1,1,2022,8.52,7.31,2,1,5.03,0.572,1278377
172,2023-03-06,324,5,1,2,1988,6.26,20.71,0,1,7.62,0.114,1206750
173,2022-01-28,310,4,3,2,2016,5.57,18.59,2,1,4.31,0.727,1131481
174,2021-07-26,256,1,3,2,2016,3.36,15.76,2,0,9.42,0.023,967488
175,2021-01-15,260,1,1,1,1995,6.9,22.51,0,1,3.59,0.035,919362
176,2023-05-08,264,3,3,1,1983,5.0,21.6,2,1,6.96,0.87,967984
177,2022-07-08,89,1,3,2,2011,9.74,6.06,1,0,8.42,0.58,556735
178,2023-06-11,75,4,2,2,1999,9.71,22.03,2,0,3.14,0.163,442426
179,2022-04-06,76,2,3,2,2008,9.15,9.66,1,1,8.21,0.602,532123
180,2022-11-22,239,4,1,2,2010,4.24,11.08,0,0,8.13,0.37,908041
181,2022-07-29,132,3,3,2,1996,4.31,24.32,1,0,9.68,0.27,556927
182,2023-05-14,219,3,1,2,2020,8.67,19.12,0,0,9.31,0.811,856688
183,2023-01-13,216,1,1,2,2004,7.56,8.38,2,0,4.5,0.477,854485
184,2021-08-29,237,4,2,2,1995,7.34,16.37,0,0,6.31,0.293,926270
185,2022-07-18,218,2,1,1,1999,3.52,13.71,1,1,9.33,0.944,840019
186,2021-04-06,338,4,1,2,2021,8.5,3.36,0,0,1.04,0.165,1312237
187,2023-06-19,278,2,2,2,1989,6.21,22.25,2,0,6.65,0.142,1018203
188,2023-01-04,146,2,1,2,2002,5.02,20.64,2,0,2.94,0.097,510242
189,2022-04-30,65,4,2,1,2012,8.79,19.55,1,1,7.65,0.124,427152
190,2022-02-11,328,5,1,2,2022,4.55,14.2,1,0,8.17,0.253,1245042
191,2021-08-19,184,4,3,1,1992,6.89,5.91,0,1,7.42,0.699,850963
192,2023-01-19,75,2,2,1,2004,5.19,22.16,1,0,9.96,0.672,328940
193,2022-10-17,61,3,2,1,2016,6.33,9.15,0,1,5.31,0.763,345593
194,2021-06-20,121,3,1,1,2015,1.36,0.99,1,1,6.05,0.576,554820
195,2022-06-25,182,1,2,1,2003,5.15,24.55,2,1,4.68,0.493,679155
196,2021-02-05,155,3,1,2,1985,6.01,21.6,2,0,9.77,0.432,657756
197,2022-06-09,269,5,2,2,1994,5.43,15.76,1,1,9.3,0.875,1060621
198,2021-06-09,226,2,2,1,2013,8.63,0.8,0,1,9.88,0.344,1029599
199,2023-04-19,331,4,3,1,1983,3.8,6.08,2,1,9.86,0.892,1256710
200,2022-11-30,182,4,1,1,1993,8.96,11.58,0,0,9.06,0.276,863407
201,2021-08-31,71,5,3,1,1983,4.63,15.89,2,1,9.38,0.157,453580
202,2021-03-27,318,3,2,1,2007,7.25,17.85,1,0,2.08,0.255,1173476
203,2023-03-07,210,2,1,2,2008,1.78,19.81,1,1,2.56,0.499,665545
204,2022-08-01,156,3,3,1,1997,2.8,14.11,1,0,8.97,0.926,624600
205,2022-11-13,328,1,2,1,1999,7.85,16.58,2,0,7.54,0.177,1229874
206,2022-07-11,284,3,3,1,2020,1.11,20.38,1,1,8.87,0.58,988120
207,2022-07-28,67,1,2,2,2011,9.72,18.14,1,0,7.93,0.218,443698
208,2022-10-08,291,4,2,2,1987,2.72,23.89,1,1,2.26,0.678,952665
209,2023-03-07,166,2,1,2,2022,9.11,21.93,0,0,9.25,0.465,750791
210,2021-01-28,335,1,1,1,1992,5.64,4.65,1,0,7.94,0.734,1227090
211,2022-09-12,331,3,1,1,2019,6.08,23.71,0,1,6.14,0.856,1154998
212,2022-07-10,193,3,2,2,2022,1.76,5.5,0,0,5.79,0.335,760651
213,2021-12-06,254,4,3,2,1988,4.29,24.79,2,0,6.16,0.938,933575
214,2023-03-09,88,5,1,2,2019,2.41,17.68,1,0,4.51,0.468,367616
215,2021-11-27,203,5,1,1,2012,5.73,15.87,2,0,8.23,0.937,829817
216,2022-10-02,225,3,1,1,1991,5.96,8.45,1,0,9.18,0.231,936710
217,2022-05-21,290,5,1,2,2016,7.39,3.76,0,0,3.28,0.897,1164767
218,2021-12-14,183,2,2,2,2004,8.9,3.59,2,1,1.34,0.334,845495
219,2022-04-18,95,5,3,1,2004,5.21,21.73,0,1,2.83,0.751,439772
220,2021-08-19,99,2,2,2,1995,3.1,11.09,1,1,7.82,0.968,461699
221,2021-07-09,215,3,2,1,1995,4.0,14.22,2,1,8.82,0.912,845959
222,2021-08-13,155,3,2,2,2018,8.62,23.33,1,0,4.14,0.464,639310
223,2022-01-20,265,3,1,1,2014,2.31,6.76,2,1,2.37,0.345,959955
224,2022-01-12,195,4,3,1,2002,6.65,19.22,1,0,8.73,0.613,820072
225,2021-10-10,121,5,2,2,1987,1.12,12.03,0,1,2.93,0.706,454798
226,2022-09-25,322,1,2,1,1982,3.21,5.71,0,0,3.18,0.54,1103983
227,2022-09-20,296,1,2,1,2003,6.32,21.4,2,0,1.83,0.848,1015103
228,2023-01-15,235,3,1,2,2022,5.11,17.16,1,1,9.19,0.058,938541
229,2021-09-16,119,5,1,1,2001,5.44,2.83,1,0,3.94,0.6,567989
230,2021-12-25,199,2,2,2,1993,6.95,13.77,0,0,2.55,0.525,769219
231,2022-12-11,295,1,1,1,2001,3.11,21.37,2,1,9.58,0.039,1071475
232,2022-04-01,311,3,3,2,2013,3.53,2.14,1,0,4.02,0.013,1164829
233,2022-02-15,75,1,1,1,2015,7.16,10.7,1,0,7.73,0.606,437409
234,2022-10-11,189,1,2,1,2010,5.84,20.23,0,1,3.07,0.118,676869
235,2021-11-14,148,1,3,2,2000,1.13,21.53,1,0,7.54,0.769,491876
236,2022-11-08,327,3,1,2,1984,7.03,19.5,0,1,3.09,0.949,1112729
237,2021-08-13,100,3,2,1,1998,6.58,7.99,2,0,6.74,0.177,563025
238,2023-03-30,200,4,3,2,2021,1.71,12.92,1,0,4.97,0.799,721953
239,2021-08-22,153,4,3,2,2000,7.73,18.66,1,1,8.19,0.591,682073
240,2022-11-15,138,4,3,1,1981,5.7,4.24,0,1,7.57,0.448,683186
241,2022-10-26,190,1,1,2,1982,2.84,15.08,0,1,9.42,0.65,722503
242,2023-04-07,262,5,3,1,2009,6.03,18.15,1,0,4.39,0.802,1006078
243,2022-01-09,282,3,1,2,2013,6.36,21.32,0,0,7.79,0.971,1013529
244,2022-11-03,232,4,2,1,2004,9.28,3.24,0,1,9.72,0.66,1079486
245,2022-08-31,300,5,1,2,2014,7.68,8.58,2,0,4.03,0.747,1200287
246,2022-04-17,58,4,1,1,2008,3.72,13.77,0,1,3.61,0.608,313793
247,2021-08-21,128,4,2,1,1991,2.06,17.68,1,1,7.92,0.565,509260
248,2022-11-23,101,5,1,2,2002,8.68,18.39,0,1,5.01,0.065,558196
249,2021-04-23,318,4,1,2,2007,8.61,6.7,1,0,4.59,0.155,1280911
250,2023-04-10,275,1,2,1,1996,2.58,0.84,1,1,5.91,0.379,1026563
251,2022-05-12,100,1,3,2,1995,1.56,17.5,0,0,9.42,0.65,369750
252,2022-03-18,235,1,2,1,1988,7.41,22.77,1,0,1.75,0.076,878140
253,2022-07-18,83,2,3,1,1982,7.5,20.04,2,0,5.19,0.544,427610
254,2021-09-25,340,4,1,2,2001,2.59,15.75,2,1,1.99,0.013,1154092
255,2022-05-25,279,2,2,2,2010,7.01,24.45,1,0,8.95,0.766,964560
256,2023-03-18,180,3,3,2,1993,3.51,11.11,2,0,2.23,0.667,700123
257,2022-01-21,169,5,1,1,1982,3.35,13.36,0,0,1.81,0.521,614843
258,2022-01-22,296,3,1,2,2017,3.92,0.8,0,1,9.67,0.571,1151746
259,2021-04-23,241,2,1,2,2002,5.68,23.68,0,0,6.07,0.933,833866
260,2022-09-05,259,1,3,2,2000,8.24,14.79,1,1,8.43,0.907,1079456
261,2022-09-17,152,4,3,1,2003,5.49,10.07,0,1,5.23,0.793,696274
262,2021-03-22,182,4,3,2,2011,3.68,1.59,0,1,4.92,0.336,782355
263,2022-11-30,188,1,1,2,1984,8.96,9.38,1,0,9.2,0.107,862034
264,2021-04-23,170,4,3,1,2012,1.5,0.59,2,1,9.91,0.321,759353
265,2021-01-02,143,5,2,2,1998,8.17,8.45,0,0,6.57,0.752,722277
266,2022-10-04,178,5,3,1,2013,8.06,23.81,1,0,9.26,0.611,773196
267,2021-08-08,140,5,3,2,1982,3.28,4.28,2,1,8.76,0.706,685452
268,2022-07-20,141,3,1,1,2018,2.78,13.86,2,0,5.9,0.105,563719
269,2023-05-05,112,1,2,1,2007,8.87,5.07,2,0,9.47,0.158,623328
270,2023-01-06,78,5,2,1,1990,6.03,19.69,0,1,2.89,0.664,370429
271,2021-08-13,259,2,2,2,1989,1.41,14.28,2,0,8.96,0.372,877871
272,2022-01-20,61,5,3,2,2019,9.02,5.45,2,0,3.78,0.369,487025
273,2022-02-07,346,3,1,1,1981,4.14,21.72,2,1,1.27,0.393,1184421
274,2022-09-30,179,2,3,2,2018,4.08,19.71,0,0,8.08,0.796,702708
275,2021-05-10,342,1,1,2,2006,6.79,23.81,1,0,9.37,0.699,1232353
276,2021-02-22,222,1,2,2,1988,6.95,0.52,2,1,2.95,0.106,928395
277,2022-11-15,257,5,3,1,2018,4.18,11.7,1,1,5.81,0.344,1016892
278,2022-12-31,73,2,1,2,1980,2.29,25.0,2,1,7.74,0.674,265675
279,2022-11-03,148,2,3,1,2012,5.97,20.37,2,1,3.98,0.976,577739
280,2022-12-11,188,5,1,1,2017,6.63,20.87,0,0,2.32,0.912,720736
281,2022-02-20,223,5,2,2,2012,8.74,15.72,2,0,4.53,0.248,944621
282,2021-09-04,78,4,3,2,1982,5.36,17.97,2,0,5.11,0.066,451347
283,2023-04-16,192,4,2,1,2011,6.81,20.23,1,1,7.68,0.573,802424
284,2022-03-15,91,5,3,2,1992,1.49,2.76,0,1,2.79,0.406,415750
285,2021-07-22,348,3,3,2,2000,9.05,17.47,1,0,8.34,0.183,1362045
286,2021-07-03,257,4,1,1,1983,3.94,20.48,1,1,5.52,0.652,923980
287,2021-05-03,241,5,1,2,1996,6.69,1.5,1,1,9.14,0.16,1099898
288,2022-02-05,209,2,1,1,2021,9.24,7.78,1,1,6.09,0.351,932554
289,2023-02-06,113,4,2,1,1983,8.29,8.44,0,0,5.02,0.795,576255
290,2021-10-21,292,3,2,2,1999,6.74,21.44,2,0,3.58,0.684,1041491
291,2021-10-07,307,1,3,1,1991,7.33,19.62,0,1,1.96,0.607,1121869
292,2023-04-17,201,2,1,2,2005,9.29,16.58,2,0,4.35,0.931,806540
293,2023-06-03,264,3,2,2,2015,8.31,20.22,2,1,4.72,0.125,1021707
294,2022-09-02,215,3,3,2,1995,6.49,11.61,1,1,6.11,0.691,876391
295,2021-07-17,80,3,2,1,1986,6.93,21.93,2,0,8.74,0.117,404688
296,2022-05-26,281,2,3,1,2012,2.33,6.24,0,1,5.17,0.136,1001113
297,2023-01-22,331,3,1,1,1981,5.23,17.76,2,0,3.83,0.506,1151634
298,2021-05-24,78,1,3,2,2012,3.71,6.42,0,1,8.86,0.024,417565
299,2022-09-01,244,4,3,2,1993,4.89,1.48,0,1,7.61,0.501,1013918
300,2021-07-20,305,2,1,1,1999,6.96,7.46,0,0,3.76,0.009,1168784
301,2021-05-04,330,3,1,2,2016,2.34,12.58,2,1,2.5,0.602,1140802
302,2021-07-06,343,5,3,2,2006,1.16,21.16,1,1,3.62,0.312,1142807
303,2021-11-22,136,4,2,1,2021,4.57,12.97,0,1,2.11,0.083,611250
304,2022-04-09,198,2,1,1,2000,3.9,4.89,1,0,9.13,0.781,790092
305,2021-12-15,298,5,3,1,1981,4.78,24.82,0,1,6.51,0.39,1091245
306,2023-02-10,332,5,1,2,2022,9.38,7.12,2,0,8.77,0.444,1362731
307,2022-10-22,247,3,1,2,1995,7.36,24.64,0,1,8.38,0.374,937853
308,2023-02-03,93,2,2,2,1998,3.95,23.44,2,0,2.38,0.084,388032
309,2022-02-07,77,3,1,1,1983,2.61,13.79,2,1,4.99,0.46,319534
310,2021-12-12,66,1,3,1,1989,6.57,2.75,2,1,9.75,0.665,474346
311,2022-05-26,176,5,3,1,2001,6.92,17.54,2,1,3.1,0.903,733831
312,2021-05-27,217,1,1,1,1991,5.35,21.22,1,0,1.45,0.764,676596
313,2021-05-28,293,3,1,2,1981,2.91,11.41,2,1,4.11,0.079,1026862
314,2023-05-14,125,4,2,1,1981,1.26,6.36,0,1,5.6,0.166,545373
315,2022-12-12,280,5,2,2,2020,3.39,20.17,1,0,1.5,0.045,947197
316,2023-03-31,253,4,2,1,2013,5.11,13.85,1,1,4.84,0.119,960651
317,2022-05-04,297,2,3,2,1997,8.09,5.34,1,1,3.28,0.481,1198217
318,2022-10-02,263,5,2,1,1995,8.68,23.76,1,0,2.91,0.22,1034812
319,2022-07-05,264,1,3,2,1998,4.72,23.73,0,0,3.38,0.648,877222
320,2021-12-04,207,4,2,2,2004,8.17,9.49,2,1,1.95,0.032,883058
