transaction_id,date,customer_id,gender,age,product_category,quantity,price_per_unit,total_amount,channel,payment_method,membership_tier
95,2023-02-23,CUST0328,Female,52,Electronics,5,778,3890,Online,E-Wallet,Silver
96,2023-10-29,CUST1144,Female,24,Beauty,4,114,456,Online,Cash,Bronze
97,2023-03-26,CUST0151,Male,64,Beauty,5,79,395,Store,E-Wallet,Gold
98,2023-07-14,CUST0746,Female,61,Home,4,281,1124,Store,E-Wallet,Silver
99,2023-12-30,CUST0854,Female,34,Electronics,2,357,714,Online,Cash,Bronze
100,2023-01-09,CUST0526,Female,46,Clothing,5,142,710,Store,Debit Card,Gold
101,2023-03-16,CUST0805,Male,54,Clothing,5,139,695,Store,Debit Card,Silver
102,2023-03-28,CUST0588,Male,57,Sports,2,183,366,Online,E-Wallet,Bronze
103,2023-06-22,CUST0821,Female,60,Electronics,2,675,1350,Store,Cash,Bronze
104,2023-01-29,CUST0794,Male,57,Sports,3,236,708,Store,Debit Card,Silver
105,2023-04-21,CUST0055,Female,62,Sports,1,130,130,Store,Debit Card,Bronze
106,2023-03-14,CUST0154,Male,56,Electronics,1,416,416,Store,Cash,Silver
107,2023-06-21,CUST0108,Male,34,Beauty,2,63,126,Online,Credit Card,Gold
108,2023-11-14,CUST0012,Male,35,Beauty,5,99,495,Store,E-Wallet,Gold
109,2023-12-31,CUST0489,Female,24,Clothing,2,184,368,Online,Cash,Bronze
110,2023-06-25,CUST0137,Male,52,Clothing,3,121,363,Online,Cash,Silver
111,2023-09-30,CUST0615,Male,57,Beauty,4,117,468,Online,Cash,Gold
112,2023-02-08,CUST0364,Female,62,Electronics,4,548,2192,Online,E-Wallet,Silver
113,2023-08-15,CUST0311,Female,52,Clothing,2,52,104,Store,Cash,Silver
114,2023-11-14,CUST0029,Male,56,Sports,4,202,808,Online,Credit Card,Bronze
115,2023-05-22,CUST0003,Male,63,Clothing,4,76,304,Store,Credit Card,Gold
116,2023-12-10,CUST0817,Female,23,Home,4,288,1152,Store,E-Wallet,Gold
117,2023-03-03,CUST0011,Female,46,Sports,2,121,242,Store,Debit Card,Bronze
118,2023-08-14,CUST1131,Female,64,Electronics,2,705,1410,Store,Credit Card,Bronze
119,2023-01-20,CUST1123,Female,34,Clothing,1,162,162,Online,Cash,Gold
120,2023-04-30,CUST0781,Male,58,Sports,1,147,147,Online,Cash,Gold
121,2023-01-29,CUST0988,Male,28,Electronics,3,531,1593,Store,Debit Card,Gold
122,2023-11-24,CUST0038,Female,65,Beauty,5,37,185,Store,E-Wallet,Bronze
123,2023-03-22,CUST0973,Male,57,Clothing,5,101,505,Online,E-Wallet,Gold
124,2023-05-27,CUST0216,Male,62,Home,1,228,228,Store,Credit Card,Silver
125,2023-07-10,CUST0356,Male,59,Beauty,4,64,256,Online,E-Wallet,Gold
126,2023-12-22,CUST0082,Female,44,Clothing,5,78,390,Store,Credit Card,Bronze
127,2023-08-11,CUST0360,Male,47,Clothing,4,127,508,Store,Debit Card,Bronze
128,2023-11-15,CUST0994,Female,49,Home,4,81,324,Online,Debit Card,Gold
129,2023-01-17,CUST0192,Female,64,Home,1,109,109,Store,E-Wallet,Gold
130,2023-01-07,CUST0948,Male,40,Sports,3,228,684,Online,Debit Card,Silver
131,2023-10-12,CUST0738,Male,46,Home,1,74,74,Store,E-Wallet,Silver
132,2023-03-25,CUST0974,Female,54,Beauty,3,112,336,Store,E-Wallet,Silver
133,2023-01-15,CUST0570,Female,32,Clothing,5,103,515,Online,E-Wallet,Gold
134,2023-05-25,CUST1084,Female,24,Sports,5,99,495,Store,Credit Card,Bronze
135,2023-02-15,CUST0378,Female,39,Electronics,1,435,435,Online,Credit Card,Bronze
136,2023-12-10,CUST0386,Female,63,Beauty,5,37,185,Store,Cash,Silver
137,2023-10-28,CUST0011,Female,58,Electronics,1,301,301,Store,E-Wallet,Bronze
138,2023-06-09,CUST1070,Male,30,Home,4,284,1136,Online,Credit Card,Bronze
139,2023-06-03,CUST0116,Female,66,Clothing,2,182,364,Online,Cash,Bronze
140,2023-01-09,CUST0635,Female,37,Electronics,1,569,569,Online,Cash,Gold
141,2023-01-07,CUST0383,Female,20,Beauty,4,25,100,Store,Credit Card,Silver
142,2023-01-12,CUST0014,Male,25,Home,5,114,570,Store,Cash,Bronze
143,2023-10-15,CUST0695,Female,58,Beauty,4,102,408,Store,Cash,Silver
144,2023-02-04,CUST0755,Female,38,Sports,5,98,490,Store,Debit Card,Bronze
145,2023-10-20,CUST0024,Female,66,Home,4,247,988,Store,E-Wallet,Bronze
146,2023-09-07,CUST0420,Female,56,Sports,2,213,426,Online,Cash,Gold
147,2023-09-03,CUST0186,Male,52,Sports,4,192,768,Online,E-Wallet,Silver
148,2023-01-14,CUST0940,Female,56,Clothing,5,101,505,Store,E-Wallet,Silver
149,2023-05-25,CUST0838,Male,18,Beauty,1,54,54,Online,E-Wallet,Bronze
150,2023-10-30,CUST0919,Female,47,Beauty,2,93,186,Store,Credit Card,Bronze
151,2023-01-01,CUST0972,Male,66,Electronics,4,483,1932,Online,E-Wallet,Gold
152,2023-09-08,CUST0620,Female,46,Sports,4,69,276,Store,Cash,Gold
153,2023-09-02,CUST0198,Female,51,Beauty,5,39,195,Store,Debit Card,Bronze
154,2023-08-11,CUST1063,Female,62,Beauty,2,103,206,Online,E-Wallet,Silver
155,2023-01-08,CUST0746,Male,64,Clothing,5,47,235,Online,Cash,Silver
156,2023-04-29,CUST0311,Female,64,Clothing,3,153,459,Online,Credit Card,Gold
157,2023-10-29,CUST0345,Male,65,Home,1,267,267,Store,Credit Card,Silver
158,2023-07-11,CUST1010,Male,28,Electronics,1,288,288,Online,Debit Card,Bronze
159,2023-05-12,CUST1126,Male,18,Beauty,2,42,84,Online,Debit Card,Silver
160,2023-03-30,CUST0455,Male,42,Sports,1,109,109,Store,Credit Card,Bronze
161,2023-04-12,CUST0291,Female,23,Clothing,3,124,372,Online,Credit Card,Bronze
162,2023-06-02,CUST1178,Male,65,Home,5,103,515,Store,Debit Card,Silver
163,2023-12-30,CUST0498,Female,32,Beauty,3,99,297,Store,E-Wallet,Gold
164,2023-09-28,CUST0051,Female,65,Home,5,137,685,Store,E-Wallet,Silver
165,2023-06-05,CUST0751,Male,21,Beauty,2,37,74,Online,Credit Card,Silver
166,2023-03-15,CUST1132,Female,24,Sports,1,133,133,Online,Credit Card,Bronze
167,2023-05-21,CUST0559,Male,59,Sports,4,171,684,Online,E-Wallet,Bronze
168,2023-12-13,CUST1178,Male,27,Sports,4,109,436,Store,Debit Card,Gold
169,2023-08-30,CUST0993,Male,34,Sports,1,168,168,Online,E-Wallet,Bronze
170,2023-06-09,CUST0419,Female,52,Beauty,2,76,152,Store,Credit Card,Silver
171,2023-06-16,CUST0637,Female,43,Electronics,1,658,658,Online,Debit Card,Gold
172,2023-02-05,CUST0621,Male,56,Sports,1,119,119,Online,Credit Card,Bronze
173,2023-05-10,CUST0828,Female,25,Home,5,208,1040,Online,Cash,Silver
174,2023-02-27,CUST0381,Male,47,Beauty,2,100,200,Online,E-Wallet,Silver
175,2023-11-29,CUST0453,Male,33,Sports,1,170,170,Online,Credit Card,Gold
176,2023-10-06,CUST0237,Female,61,Home,3,271,813,Store,Credit Card,Silver
177,2023-03-25,CUST0149,Male,40,Clothing,1,77,77,Online,Credit Card,Silver
178,2023-12-07,CUST0361,Male,43,Clothing,3,114,342,Online,Debit Card,Gold
179,2023-05-23,CUST0262,Female,62,Home,5,101,505,Store,Debit Card,Silver
180,2023-03-08,CUST0134,Female,52,Home,1,125,125,Online,Debit Card,Silver
181,2023-01-25,CUST0266,Female,18,Clothing,1,93,93,Online,E-Wallet,Silver
182,2023-01-25,CUST0238,Male,32,Sports,5,245,1225,Online,Credit Card,Bronze
183,2023-11-30,CUST0543,Female,19,Home,2,152,304,Online,Cash,Gold
184,2023-01-05,CUST0287,Female,32,Beauty,2,30,60,Store,Cash,Gold
185,2023-05-29,CUST1123,Female,50,Electronics,4,389,1556,Online,E-Wallet,Gold
186,2023-04-11,CUST0785,Male,67,Home,4,183,732,Store,Credit Card,Gold
187,2023-01-07,CUST0768,Female,44,Beauty,4,24,96,Store,Debit Card,Silver
188,2023-05-18,CUST0661,Female,54,Clothing,5,52,260,Store,E-Wallet,Bronze
189,2023-07-07,CUST0995,Female,65,Beauty,5,45,225,Online,Debit Card,Gold
190,2023-01-21,CUST0554,Female,65,Clothing,5,56,280,Store,Credit Card,Silver
191,2023-11-10,CUST0242,Male,32,Home,5,246,1230,Store,E-Wallet,Gold
192,2023-06-22,CUST0856,Male,40,Beauty,5,27,135,Store,Credit Card,Bronze
193,2023-06-01,CUST0408,Female,28,Electronics,5,347,1735,Online,Cash,Gold
194,2023-01-28,CUST0499,Female,27,Beauty,3,24,72,Online,Cash,Bronze
195,2023-11-25,CUST0360,Male,42,Clothing,2,75,150,Online,Cash,Silver
196,2023-09-23,CUST0767,Male,33,Sports,4,209,836,Online,E-Wallet,Silver
197,2023-01-10,CUST0523,Female,42,Electronics,2,382,764,Online,Debit Card,Silver
198,2023-10-15,CUST1196,Male,29,Beauty,1,113,113,Store,Cash,Silver
199,2023-05-29,CUST0149,Female,45,Home,3,294,882,Store,Credit Card,Silver
200,2023-01-29,CUST0770,Female,61,Sports,4,200,800,Store,Debit Card,Gold
201,2023-07-08,CUST0421,Female,64,Electronics,3,218,654,Store,E-Wallet,Bronze
202,2023-05-16,CUST1135,Female,57,Clothing,2,168,336,Store,E-Wallet,Silver
203,2023-01-10,CUST0473,Female,59,Sports,3,213,639,Online,Debit Card,Silver
204,2023-07-28,CUST1036,Male,48,Electronics,2,636,1272,Store,Debit Card,Gold
205,2023-07-05,CUST1125,Male,55,Home,5,83,415,Store,Debit Card,Gold
206,2023-07-21,CUST0405,Female,46,Home,4,178,712,Online,Cash,Bronze
207,2023-07-05,CUST0336,Female,36,Home,4,206,824,Store,Cash,Silver
208,2023-06-01,CUST0211,Male,65,Sports,4,241,964,Store,E-Wallet,Silver
209,2023-04-23,CUST0183,Male,50,Electronics,2,312,624,Store,Debit Card,Gold
210,2023-07-17,CUST0399,Female,67,Home,3,128,384,Store,Credit Card,Gold
211,2023-04-28,CUST0254,Female,68,Sports,1,95,95,Store,Credit Card,Bronze
212,2023-03-15,CUST0049,Female,52,Sports,4,88,352,Store,E-Wallet,Bronze
213,2023-11-22,CUST0612,Male,53,Electronics,4,563,2252,Store,Debit Card,Silver
214,2023-12-08,CUST0414,Female,48,Home,3,139,417,Online,Credit Card,Bronze
215,2023-02-13,CUST0582,Male,38,Electronics,5,427,2135,Online,Debit Card,Bronze
216,2023-05-07,CUST1094,Female,43,Clothing,3,182,546,Online,E-Wallet,Silver
217,2023-11-10,CUST0165,Female,66,Sports,2,214,428,Store,Cash,Bronze
218,2023-06-10,CUST0853,Female,51,Clothing,5,110,550,Online,Debit Card,Gold
219,2023-03-27,CUST0423,Male,19,Electronics,1,693,693,Online,E-Wallet,Bronze
220,2023-11-26,CUST1090,Female,27,Clothing,3,115,345,Store,E-Wallet,Gold
221,2023-02-01,CUST0561,Female,32,Sports,4,165,660,Online,E-Wallet,Bronze
222,2023-08-02,CUST0079,Male,19,Home,4,85,340,Store,E-Wallet,Silver
223,2023-04-07,CUST1068,Male,67,Clothing,4,45,180,Store,Cash,Bronze
224,2023-09-24,CUST0307,Male,38,Home,2,100,200,Online,Cash,Bronze
225,2023-08-26,CUST0559,Male,62,Clothing,2,51,102,Store,Cash,Silver
226,2023-08-08,CUST0040,Female,28,Electronics,5,459,2295,Online,Cash,Bronze
227,2023-04-19,CUST0575,Male,44,Sports,5,108,540,Store,Credit Card,Gold
228,2023-07-15,CUST0353,Female,55,Electronics,4,581,2324,Online,Debit Card,Gold
229,2023-12-30,CUST0943,Female,65,Home,1,279,279,Store,E-Wallet,Silver
230,2023-06-12,CUST0190,Male,40,Home,2,141,282,Online,E-Wallet,Silver
231,2023-11-21,CUST0273,Male,57,Home,3,221,663,Online,E-Wallet,Gold
232,2023-07-20,CUST0454,Female,42,Home,4,126,504,Store,Debit Card,Gold
233,2023-08-15,CUST0533,Male,26,Electronics,5,501,2505,Store,E-Wallet,Bronze
234,2023-04-25,CUST0210,Female,63,Electronics,3,418,1254,Online,Debit Card,Bronze
235,2023-07-09,CUST0840,Female,41,Beauty,3,103,309,Online,Debit Card,Silver
236,2023-03-24,CUST0662,Male,31,Beauty,3,92,276,Store,Credit Card,Gold
237,2023-10-02,CUST0633,Female,69,Home,5,123,615,Store,Debit Card,Gold
238,2023-08-15,CUST0821,Female,58,Electronics,3,533,1599,Store,Debit Card,Silver
239,2023-09-12,CUST1151,Female,63,Sports,1,60,60,Online,Credit Card,Gold
240,2023-11-21,CUST0661,Female,62,Home,5,94,470,Store,Cash,Silver
241,2023-02-16,CUST0174,Male,55,Electronics,3,225,675,Online,Credit Card,Bronze
242,2023-05-12,CUST0179,Female,19,Home,4,126,504,Online,Debit Card,Gold
243,2023-12-27,CUST0951,Female,36,Electronics,1,772,772,Online,Debit Card,Bronze
244,2023-04-03,CUST0441,Female,66,Sports,1,133,133,Store,Credit Card,Silver
245,2023-10-29,CUST0049,Male,66,Electronics,3,603,1809,Online,Debit Card,Silver
246,2023-08-21,CUST0382,Male,56,Electronics,5,752,3760,Store,Credit Card,Gold
247,2023-07-11,CUST0397,Female,61,Beauty,3,65,195,Store,E-Wallet,Bronze
248,2023-09-25,CUST1133,Male,44,Sports,1,57,57,Online,Cash,Silver
249,2023-08-03,CUST1005,Male,45,Electronics,4,523,2092,Online,E-Wallet,Bronze
250,2023-08-31,CUST0332,Female,35,Electronics,2,304,608,Store,Debit Card,Bronze
251,2023-03-25,CUST0771,Female,57,Beauty,5,57,285,Online,Credit Card,Bronze
252,2023-08-23,CUST0268,Male,41,Electronics,5,556,2780,Store,Debit Card,Bronze
253,2023-05-26,CUST1131,Female,61,Home,3,240,720,Online,E-Wallet,Gold
254,2023-06-05,CUST0195,Female,53,Home,1,107,107,Online,Credit Card,Gold
255,2023-06-05,CUST0440,Female,36,Sports,4,96,384,Store,Debit Card,Silver
256,2023-05-06,CUST1007,Female,29,Beauty,1,27,27,Online,Credit Card,Gold
257,2023-12-10,CUST0837,Female,60,Beauty,3,23,69,Online,Cash,Silver
258,2023-11-11,CUST0262,Male,52,Sports,5,173,865,Store,Debit Card,Silver
259,2023-10-12,CUST0201,Female,22,Sports,3,71,213,Store,Credit Card,Bronze
260,2023-12-31,CUST0674,Male,68,Sports,3,209,627,Online,Credit Card,Bronze
261,2023-01-21,CUST0942,Female,52,Home,3,151,453,Store,Cash,Silver
262,2023-09-30,CUST0139,Female,45,Beauty,4,38,152,Store,Credit Card,Bronze
263,2023-05-27,CUST0164,Female,38,Beauty,5,64,320,Online,Cash,Gold
264,2023-01-05,CUST0476,Male,43,Electronics,4,757,3028,Online,E-Wallet,Silver
265,2023-07-02,CUST1023,Male,44,Clothing,4,114,456,Store,E-Wallet,Bronze
266,2023-08-30,CUST0499,Male,62,Electronics,3,281,843,Store,E-Wallet,Gold
267,2023-12-03,CUST0116,Male,30,Electronics,1,346,346,Store,Debit Card,Bronze
268,2023-07-27,CUST0287,Male,33,Clothing,5,177,885,Online,Debit Card,Bronze
269,2023-10-13,CUST0696,Female,24,Electronics,3,218,654,Online,Cash,Gold
270,2023-10-19,CUST1089,Male,26,Electronics,5,200,1000,Store,Credit Card,Gold
271,2023-07-10,CUST0194,Male,52,Electronics,2,583,1166,Online,Cash,Silver
272,2023-06-22,CUST0188,Male,51,Clothing,5,122,610,Online,E-Wallet,Silver
273,2023-01-13,CUST0322,Female,44,Home,2,265,530,Online,Credit Card,Gold
274,2023-08-21,CUST0321,Male,39,Sports,5,106,530,Store,Credit Card,Gold
275,2023-02-01,CUST1047,Female,31,Clothing,2,93,186,Online,E-Wallet,Silver
276,2023-02-22,CUST1012,Male,31,Home,5,71,355,Online,Debit Card,Silver
277,2023-12-27,CUST1099,Female,55,Home,1,77,77,Store,Cash,Silver
278,2023-11-21,CUST0390,Male,36,Home,1,180,180,Store,Cash,Silver
279,2023-04-10,CUST0428,Female,29,Clothing,3,122,366,Store,Credit Card,Bronze
280,2023-08-06,CUST0471,Male,50,Sports,1,62,62,Online,E-Wallet,Gold
281,2023-10-08,CUST0431,Male,45,Electronics,5,492,2460,Online,Credit Card,Gold
282,2023-08-24,CUST0227,Female,48,Electronics,4,654,2616,Online,E-Wallet,Bronze
283,2023-06-15,CUST0329,Male,41,Beauty,1,106,106,Online,Cash,Silver
284,2023-01-28,CUST1027,Female,38,Home,4,241,964,Online,Cash,Gold
285,2023-04-28,CUST0049,Male,54,Clothing,5,86,430,Online,E-Wallet,Silver
286,2023-05-18,CUST0868,Female,41,Beauty,1,36,36,Store,Cash,Bronze
287,2023-07-07,CUST0740,Female,29,Clothing,1,195,195,Store,Debit Card,Bronze
288,2023-08-10,CUST0175,Male,24,Electronics,2,620,1240,Online,Credit Card,Silver
289,2023-01-16,CUST0012,Male,49,Beauty,5,119,595,Store,E-Wallet,Bronze
290,2023-08-05,CUST0983,Male,32,Sports,3,205,615,Online,Cash,Silver
291,2023-03-31,CUST0516,Female,58,Electronics,5,633,3165,Store,Cash,Silver
292,2023-01-26,CUST0362,Female,57,Electronics,2,706,1412,Online,Cash,Gold
293,2023-11-17,CUST0491,Female,43,Electronics,4,301,1204,Store,Debit Card,Bronze
294,2023-09-05,CUST0361,Female,38,Electronics,2,621,1242,Online,Credit Card,Silver
295,2023-07-29,CUST0598,Female,61,Clothing,5,42,210,Store,Cash,Bronze
296,2023-11-29,CUST0331,Male,65,Clothing,3,109,327,Online,E-Wallet,Gold
297,2023-11-28,CUST1114,Female,35,Beauty,5,106,530,Online,Debit Card,Gold
298,2023-02-28,CUST0797,Female,25,Sports,2,243,486,Store,Debit Card,Silver
299,2023-04-04,CUST0495,Female,39,Electronics,3,238,714,Store,Debit Card,Bronze
300,2023-03-15,CUST0421,Female,57,Home,5,230,1150,Online,Cash,Gold
301,2023-04-11,CUST0790,Female,26,Beauty,1,32,32,Online,E-Wallet,Gold
302,2023-02-03,CUST0667,Female,52,Beauty,1,103,103,Store,Credit Card,Gold
303,2023-01-17,CUST0718,Female,21,Clothing,5,132,660,Store,Debit Card,Bronze
304,2023-06-03,CUST1082,Male,18,Sports,4,154,616,Store,Debit Card,Silver
305,2023-08-25,CUST1016,Male,29,Electronics,5,779,3895,Online,Cash,Gold
306,2023-07-07,CUST1133,Male,67,Clothing,5,171,855,Online,Credit Card,Bronze
307,2023-05-27,CUST0553,Male,20,Home,1,286,286,Store,E-Wallet,Gold
308,2023-07-08,CUST0040,Male,66,Home,2,126,252,Store,Credit Card,Gold
309,2023-03-10,CUST0877,Female,57,Sports,1,106,106,Store,Cash,Silver
310,2023-11-13,CUST1109,Female,68,Home,3,255,765,Store,E-Wallet,Gold
311,2023-12-09,CUST1193,Male,31,Clothing,2,140,280,Store,Debit Card,Gold
312,2023-08-16,CUST1071,Male,51,Sports,5,81,405,Store,Debit Card,Bronze
313,2023-05-19,CUST0977,Male,55,Clothing,1,150,150,Store,Credit Card,Gold
314,2023-10-19,CUST0563,Male,23,Electronics,1,287,287,Store,Cash,Gold
315,2023-05-06,CUST0167,Female,69,Electronics,1,617,617,Store,Cash,Bronze
316,2023-03-17,CUST0561,Female,21,Sports,1,145,145,Online,Credit Card,Gold
317,2023-03-19,CUST0043,Male,23,Clothing,1,171,171,Store,Credit Card,Bronze
